"Story","Title","Result","Date","Stability","Duration (s)"
"consultar posts","consulta exitosa","SUCCESS","2022-03-27T17:44:45.235-05:00[America/Bogota]","0.0","5.8"
"consultar posts","consulta exitosa de informacion de un usuario","SUCCESS","2022-03-27T17:44:51.042-05:00[America/Bogota]","0.0","0.65"
"Creacion de usuario","create fallido","SUCCESS","2022-03-25T18:50:28.452-05:00[America/Bogota]","0.0","0.62"
"Creacion de usuario","create exitoso solo con nombre","SUCCESS","2022-03-25T18:58:56.105-05:00[America/Bogota]","0.0","0.6"
"Creacion de usuario","create exitoso","SUCCESS","2022-03-27T19:46:22.353-05:00[America/Bogota]","0.0","7.93"
"Creacion de usuario","create exitoso solo con el nombre","SUCCESS","2022-03-27T19:46:30.299-05:00[America/Bogota]","0.0","0.6"
